Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Feb  3 09:57:41 2022 ; 1 ;; 0.0 ;;
Thu Feb  3 09:57:43 2022 ; 3 ;; 33.33 ;;
Thu Feb  3 09:57:48 2022 ; 10 ;; 70.0 ;;
Thu Feb  3 09:57:49 2022 ; 11 ;; 63.64 ;;
Thu Feb  3 09:57:50 2022 ; 12 ;; 58.33 ;;
Thu Feb  3 09:57:51 2022 ; 13 ;; 53.85 ;;
Thu Feb  3 09:57:52 2022 ; 14 ;; 50.0 ;;
Thu Feb  3 09:57:53 2022 ; 15 ;; 46.67 ;;
Thu Feb  3 09:57:54 2022 ; 16 ;; 43.75 ;;
Thu Feb  3 09:57:55 2022 ; 17 ;; 41.18 ;;
Thu Feb  3 09:57:56 2022 ; 18 ;; 38.89 ;;
Thu Feb  3 09:57:57 2022 ; 19 ;; 36.84 ;;
Thu Feb  3 09:57:58 2022 ; 20 ;; 35.0 ;;
Thu Feb  3 09:57:59 2022 ; 21 ;; 33.33 ;;
Thu Feb  3 09:58:00 2022 ; 22 ;; 31.82 ;;
Thu Feb  3 09:58:01 2022 ; 23 ;; 30.43 ;;
Thu Feb  3 09:58:02 2022 ; 24 ;; 29.17 ;;
Thu Feb  3 09:58:03 2022 ; 25 ;; 28.0 ;;
Thu Feb  3 09:58:04 2022 ; 26 ;; 26.92 ;;
Thu Feb  3 09:58:05 2022 ; 27 ;; 25.93 ;;
Thu Feb  3 09:58:06 2022 ; 28 ;; 25.0 ;;
Thu Feb  3 09:58:07 2022 ; 29 ;; 24.14 ;;
Thu Feb  3 09:58:08 2022 ; 30 ;; 23.33 ;;
Thu Feb  3 09:58:09 2022 ; 31 ;; 22.58 ;;
Thu Feb  3 09:58:10 2022 ; 32 ;; 21.88 ;;
Thu Feb  3 09:58:11 2022 ; 33 ;; 21.21 ;;
Thu Feb  3 09:58:12 2022 ; 34 ;; 20.59 ;;
Thu Feb  3 09:58:13 2022 ; 35 ;; 20.0 ;;
Thu Feb  3 09:58:14 2022 ; 36 ;; 19.44 ;;
Thu Feb  3 09:58:15 2022 ; 37 ;; 18.92 ;;
Thu Feb  3 09:58:16 2022 ; 38 ;; 18.42 ;;
Thu Feb  3 09:58:17 2022 ; 39 ;; 17.95 ;;
Thu Feb  3 09:58:18 2022 ; 40 ;; 17.5 ;;
Thu Feb  3 09:58:19 2022 ; 41 ;; 17.07 ;;
Thu Feb  3 09:58:20 2022 ; 42 ;; 16.67 ;;
Thu Feb  3 09:58:21 2022 ; 43 ;; 16.28 ;;
Thu Feb  3 09:58:22 2022 ; 44 ;; 15.91 ;;
