Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Mon Jan 31 19:40:12 2022 ; 4 ;; 75.0 ;;
Mon Jan 31 19:40:19 2022 ; 15 ;; 86.67 ;;
Mon Jan 31 19:40:26 2022 ; 28 ;; 89.29 ;;
Mon Jan 31 19:40:37 2022 ; 47 ;; 91.49 ;;
Mon Jan 31 19:40:38 2022 ; 48 ;; 89.58 ;;
Mon Jan 31 19:41:01 2022 ; 91 ;; 93.41 ;;
Mon Jan 31 19:41:02 2022 ; 92 ;; 92.39 ;;
Mon Jan 31 19:41:11 2022 ; 107 ;; 92.52 ;;
Mon Jan 31 19:41:12 2022 ; 108 ;; 91.67 ;;
Mon Jan 31 19:41:13 2022 ; 109 ;; 90.83 ;;
Mon Jan 31 19:41:14 2022 ; 110 ;; 90.0 ;;
Mon Jan 31 19:41:16 2022 ; 111 ;; 89.19 ;;
Mon Jan 31 19:41:22 2022 ; 121 ;; 89.26 ;;
Mon Jan 31 19:41:28 2022 ; 131 ;; 89.31 ;;
Mon Jan 31 19:41:30 2022 ; 134 ;; 88.81 ;;
Mon Jan 31 19:41:44 2022 ; 156 ;; 89.74 ;;
Mon Jan 31 19:41:45 2022 ; 157 ;; 89.17 ;;
Mon Jan 31 19:41:50 2022 ; 167 ;; 89.22 ;;
Mon Jan 31 19:41:58 2022 ; 180 ;; 89.44 ;;
Mon Jan 31 19:42:03 2022 ; 189 ;; 89.42 ;;
Mon Jan 31 19:43:21 2022 ; 331 ;; 93.66 ;;
Mon Jan 31 19:43:28 2022 ; 344 ;; 93.6 ;;
Mon Jan 31 19:43:47 2022 ; 378 ;; 93.92 ;;
Mon Jan 31 19:44:10 2022 ; 419 ;; 94.27 ;;
Mon Jan 31 19:44:11 2022 ; 421 ;; 94.06 ;;
Mon Jan 31 19:45:24 2022 ; 553 ;; 95.3 ;;
Mon Jan 31 19:45:27 2022 ; 559 ;; 95.17 ;;
Mon Jan 31 19:45:31 2022 ; 564 ;; 95.04 ;;
Mon Jan 31 19:45:32 2022 ; 565 ;; 94.87 ;;
Mon Jan 31 19:46:02 2022 ; 621 ;; 95.17 ;;
Mon Jan 31 19:46:27 2022 ; 666 ;; 95.35 ;;
Mon Jan 31 19:47:28 2022 ; 778 ;; 95.89 ;;
Mon Jan 31 19:47:35 2022 ; 790 ;; 95.82 ;;
Mon Jan 31 19:48:08 2022 ; 849 ;; 96.0 ;;
Mon Jan 31 19:48:17 2022 ; 865 ;; 95.95 ;;
Mon Jan 31 19:48:24 2022 ; 877 ;; 95.9 ;;
Mon Jan 31 19:49:11 2022 ; 962 ;; 96.15 ;;
Mon Jan 31 19:49:19 2022 ; 976 ;; 96.11 ;;
Mon Jan 31 19:49:31 2022 ; 998 ;; 96.09 ;;
Mon Jan 31 19:49:45 2022 ; 1022 ;; 96.09 ;;
Mon Jan 31 19:50:10 2022 ; 1068 ;; 96.16 ;;
Mon Jan 31 19:50:11 2022 ; 1069 ;; 96.07 ;;
Mon Jan 31 19:50:15 2022 ; 1076 ;; 96.0 ;;
Mon Jan 31 19:50:17 2022 ; 1079 ;; 95.92 ;;
Mon Jan 31 19:50:20 2022 ; 1083 ;; 95.84 ;;
Mon Jan 31 19:50:41 2022 ; 1120 ;; 95.89 ;;
Mon Jan 31 19:50:44 2022 ; 1125 ;; 95.82 ;;
Mon Jan 31 19:50:49 2022 ; 1134 ;; 95.77 ;;
