Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Wed Feb  2 14:21:53 2022 ; 21 ;; 95.24 ;;
Wed Feb  2 14:23:23 2022 ; 185 ;; 98.92 ;;
Wed Feb  2 14:23:28 2022 ; 193 ;; 98.45 ;;
Wed Feb  2 14:24:28 2022 ; 305 ;; 98.69 ;;
Wed Feb  2 14:24:35 2022 ; 317 ;; 98.42 ;;
Wed Feb  2 14:24:49 2022 ; 342 ;; 98.25 ;;
Wed Feb  2 14:24:54 2022 ; 351 ;; 98.01 ;;
Wed Feb  2 14:25:21 2022 ; 400 ;; 98.0 ;;
Wed Feb  2 14:25:22 2022 ; 401 ;; 97.76 ;;
Wed Feb  2 14:25:30 2022 ; 415 ;; 97.59 ;;
Wed Feb  2 14:25:31 2022 ; 416 ;; 97.36 ;;
Wed Feb  2 14:25:46 2022 ; 443 ;; 97.29 ;;
Wed Feb  2 14:25:53 2022 ; 455 ;; 97.14 ;;
Wed Feb  2 14:25:57 2022 ; 463 ;; 96.98 ;;
Wed Feb  2 14:26:07 2022 ; 481 ;; 96.88 ;;
Wed Feb  2 14:26:44 2022 ; 549 ;; 97.09 ;;
Wed Feb  2 14:26:50 2022 ; 559 ;; 96.96 ;;
Wed Feb  2 14:27:13 2022 ; 601 ;; 97.0 ;;
Wed Feb  2 14:27:23 2022 ; 620 ;; 96.94 ;;
Wed Feb  2 14:27:25 2022 ; 623 ;; 96.79 ;;
Wed Feb  2 14:27:30 2022 ; 631 ;; 96.67 ;;
Wed Feb  2 14:27:41 2022 ; 650 ;; 96.62 ;;
Wed Feb  2 14:28:00 2022 ; 685 ;; 96.64 ;;
Wed Feb  2 14:28:17 2022 ; 717 ;; 96.65 ;;
Wed Feb  2 14:28:18 2022 ; 718 ;; 96.52 ;;
Wed Feb  2 14:28:19 2022 ; 719 ;; 96.38 ;;
Wed Feb  2 14:28:24 2022 ; 727 ;; 96.29 ;;
Wed Feb  2 14:28:40 2022 ; 756 ;; 96.3 ;;
Wed Feb  2 14:28:45 2022 ; 764 ;; 96.2 ;;
