Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Mon Dec 13 18:15:52 2021 ; 140 ;; 99.29 ;;
Mon Dec 13 18:15:53 2021 ; 141 ;; 98.58 ;;
Mon Dec 13 18:15:54 2021 ; 142 ;; 97.89 ;;
Mon Dec 13 18:15:55 2021 ; 143 ;; 97.2 ;;
Mon Dec 13 18:15:56 2021 ; 144 ;; 96.53 ;;
Mon Dec 13 18:15:57 2021 ; 145 ;; 95.86 ;;
Mon Dec 13 18:15:58 2021 ; 146 ;; 95.21 ;;
Mon Dec 13 18:15:59 2021 ; 147 ;; 94.56 ;;
Mon Dec 13 18:16:00 2021 ; 148 ;; 93.92 ;;
Mon Dec 13 18:16:01 2021 ; 149 ;; 93.29 ;;
Mon Dec 13 18:16:02 2021 ; 150 ;; 92.67 ;;
Mon Dec 13 18:16:03 2021 ; 151 ;; 92.05 ;;
Mon Dec 13 18:54:34 2021 ; 3617 ;; 99.64 ;;
Mon Dec 13 18:54:54 2021 ; 3646 ;; 99.62 ;;
