Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Jan 27 08:46:30 2022 ; 88 ;; 98.86 ;;
Thu Jan 27 08:46:31 2022 ; 89 ;; 97.75 ;;
Thu Jan 27 08:46:32 2022 ; 90 ;; 96.67 ;;
Thu Jan 27 08:46:33 2022 ; 91 ;; 95.6 ;;
Thu Jan 27 08:46:34 2022 ; 92 ;; 94.57 ;;
Thu Jan 27 08:46:35 2022 ; 93 ;; 93.55 ;;
Thu Jan 27 08:46:36 2022 ; 94 ;; 92.55 ;;
Thu Jan 27 08:46:37 2022 ; 95 ;; 91.58 ;;
Thu Jan 27 08:46:38 2022 ; 96 ;; 90.62 ;;
Thu Jan 27 08:46:39 2022 ; 97 ;; 89.69 ;;
Thu Jan 27 08:46:40 2022 ; 98 ;; 88.78 ;;
Thu Jan 27 08:46:41 2022 ; 99 ;; 87.88 ;;
Thu Jan 27 08:46:42 2022 ; 100 ;; 87.0 ;;
Thu Jan 27 08:46:43 2022 ; 101 ;; 86.14 ;;
Thu Jan 27 08:46:44 2022 ; 102 ;; 85.29 ;;
Thu Jan 27 08:46:45 2022 ; 103 ;; 84.47 ;;
Thu Jan 27 08:46:46 2022 ; 104 ;; 83.65 ;;
Thu Jan 27 08:46:47 2022 ; 105 ;; 82.86 ;;
Thu Jan 27 08:46:48 2022 ; 106 ;; 82.08 ;;
Thu Jan 27 08:46:49 2022 ; 107 ;; 81.31 ;;
Thu Jan 27 08:46:50 2022 ; 108 ;; 80.56 ;;
Thu Jan 27 08:46:51 2022 ; 109 ;; 79.82 ;;
Thu Jan 27 08:46:52 2022 ; 110 ;; 79.09 ;;
Thu Jan 27 08:46:54 2022 ; 111 ;; 78.38 ;;
Thu Jan 27 08:46:55 2022 ; 112 ;; 77.68 ;;
Thu Jan 27 08:46:56 2022 ; 113 ;; 76.99 ;;
Thu Jan 27 08:46:57 2022 ; 114 ;; 76.32 ;;
Thu Jan 27 09:03:39 2022 ; 1929 ;; 98.55 ;;
Thu Jan 27 10:22:54 2022 ; 10583 ;; 99.73 ;;
Thu Jan 27 10:22:55 2022 ; 10584 ;; 99.72 ;;
Thu Jan 27 10:22:56 2022 ; 10585 ;; 99.71 ;;
Thu Jan 27 10:22:57 2022 ; 10586 ;; 99.7 ;;
Thu Jan 27 10:22:58 2022 ; 10587 ;; 99.69 ;;
Thu Jan 27 10:22:59 2022 ; 10588 ;; 99.68 ;;
Thu Jan 27 10:23:00 2022 ; 10589 ;; 99.67 ;;
Thu Jan 27 10:23:01 2022 ; 10590 ;; 99.66 ;;
Thu Jan 27 10:23:02 2022 ; 10591 ;; 99.65 ;;
Thu Jan 27 10:23:03 2022 ; 10592 ;; 99.64 ;;
Thu Jan 27 10:23:04 2022 ; 10593 ;; 99.63 ;;
Thu Jan 27 10:23:05 2022 ; 10594 ;; 99.62 ;;
Thu Jan 27 10:23:06 2022 ; 10595 ;; 99.61 ;;
Thu Jan 27 10:23:07 2022 ; 10596 ;; 99.6 ;;
Thu Jan 27 10:23:08 2022 ; 10597 ;; 99.59 ;;
Thu Jan 27 10:23:09 2022 ; 10598 ;; 99.58 ;;
Thu Jan 27 10:23:10 2022 ; 10599 ;; 99.58 ;;
Thu Jan 27 10:23:11 2022 ; 10600 ;; 99.57 ;;
Thu Jan 27 10:23:12 2022 ; 10601 ;; 99.56 ;;
Thu Jan 27 10:23:13 2022 ; 10602 ;; 99.55 ;;
Thu Jan 27 10:23:14 2022 ; 10603 ;; 99.54 ;;
Thu Jan 27 10:23:15 2022 ; 10604 ;; 99.53 ;;
Thu Jan 27 10:23:26 2022 ; 10622 ;; 99.52 ;;
Thu Jan 27 10:23:32 2022 ; 10633 ;; 99.51 ;;
Thu Jan 27 10:30:46 2022 ; 11424 ;; 99.54 ;;
Thu Jan 27 10:34:50 2022 ; 11867 ;; 99.54 ;;
Thu Jan 27 10:36:09 2022 ; 12008 ;; 99.54 ;;
Thu Jan 27 10:41:14 2022 ; 12560 ;; 99.55 ;;
Thu Jan 27 10:41:35 2022 ; 12598 ;; 99.55 ;;
