Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Fri Jan 28 19:07:15 2022 ; 17 ;; 94.12 ;;
Fri Jan 28 19:07:16 2022 ; 19 ;; 89.47 ;;
Fri Jan 28 19:07:18 2022 ; 20 ;; 85.0 ;;
Fri Jan 28 19:07:19 2022 ; 22 ;; 81.82 ;;
Fri Jan 28 19:07:30 2022 ; 41 ;; 87.8 ;;
Fri Jan 28 19:07:31 2022 ; 42 ;; 85.71 ;;
Fri Jan 28 19:07:32 2022 ; 43 ;; 83.72 ;;
Fri Jan 28 19:07:33 2022 ; 44 ;; 81.82 ;;
Fri Jan 28 19:07:45 2022 ; 64 ;; 85.94 ;;
Fri Jan 28 19:07:46 2022 ; 65 ;; 84.62 ;;
Fri Jan 28 19:08:01 2022 ; 90 ;; 87.78 ;;
Fri Jan 28 19:08:12 2022 ; 108 ;; 88.89 ;;
Fri Jan 28 19:08:13 2022 ; 109 ;; 88.07 ;;
Fri Jan 28 19:08:23 2022 ; 127 ;; 88.98 ;;
Fri Jan 28 19:08:24 2022 ; 128 ;; 88.28 ;;
Fri Jan 28 19:08:30 2022 ; 137 ;; 88.32 ;;
Fri Jan 28 19:08:32 2022 ; 140 ;; 87.86 ;;
Fri Jan 28 19:08:33 2022 ; 141 ;; 87.23 ;;
Fri Jan 28 19:08:44 2022 ; 160 ;; 88.12 ;;
Fri Jan 28 19:08:46 2022 ; 162 ;; 87.65 ;;
Fri Jan 28 19:09:00 2022 ; 186 ;; 88.71 ;;
Fri Jan 28 19:09:01 2022 ; 187 ;; 88.24 ;;
Fri Jan 28 19:09:02 2022 ; 188 ;; 87.77 ;;
Fri Jan 28 19:09:03 2022 ; 189 ;; 87.3 ;;
Fri Jan 28 19:09:04 2022 ; 190 ;; 86.84 ;;
Fri Jan 28 19:09:05 2022 ; 191 ;; 86.39 ;;
Fri Jan 28 19:09:17 2022 ; 211 ;; 87.2 ;;
Fri Jan 28 19:09:18 2022 ; 212 ;; 86.79 ;;
Fri Jan 28 19:09:19 2022 ; 213 ;; 86.38 ;;
Fri Jan 28 19:09:20 2022 ; 214 ;; 85.98 ;;
Fri Jan 28 19:09:22 2022 ; 217 ;; 85.71 ;;
Fri Jan 28 19:09:25 2022 ; 222 ;; 85.59 ;;
Fri Jan 28 19:09:37 2022 ; 242 ;; 86.36 ;;
Fri Jan 28 19:09:38 2022 ; 243 ;; 86.01 ;;
Fri Jan 28 19:09:53 2022 ; 269 ;; 86.99 ;;
Fri Jan 28 19:10:06 2022 ; 291 ;; 87.63 ;;
Fri Jan 28 19:10:38 2022 ; 346 ;; 89.31 ;;
Fri Jan 28 19:11:09 2022 ; 400 ;; 90.5 ;;
Fri Jan 28 19:11:12 2022 ; 405 ;; 90.37 ;;
Fri Jan 28 19:11:26 2022 ; 428 ;; 90.65 ;;
Fri Jan 28 19:11:27 2022 ; 430 ;; 90.47 ;;
Fri Jan 28 19:11:59 2022 ; 485 ;; 91.34 ;;
Fri Jan 28 19:12:00 2022 ; 487 ;; 91.17 ;;
Fri Jan 28 19:12:02 2022 ; 489 ;; 91.0 ;;
Fri Jan 28 19:12:03 2022 ; 490 ;; 90.82 ;;
Fri Jan 28 19:12:13 2022 ; 508 ;; 90.94 ;;
Fri Jan 28 19:12:27 2022 ; 532 ;; 91.17 ;;
Fri Jan 28 19:12:31 2022 ; 537 ;; 91.06 ;;
Fri Jan 28 19:12:42 2022 ; 557 ;; 91.2 ;;
Fri Jan 28 19:12:52 2022 ; 574 ;; 91.29 ;;
Fri Jan 28 19:12:53 2022 ; 575 ;; 91.13 ;;
Fri Jan 28 19:12:55 2022 ; 578 ;; 91.0 ;;
Fri Jan 28 19:13:07 2022 ; 598 ;; 91.14 ;;
Fri Jan 28 19:13:10 2022 ; 602 ;; 91.03 ;;
Fri Jan 28 19:13:22 2022 ; 622 ;; 91.16 ;;
Fri Jan 28 19:13:33 2022 ; 640 ;; 91.25 ;;
Fri Jan 28 19:13:39 2022 ; 650 ;; 91.23 ;;
Fri Jan 28 19:13:52 2022 ; 673 ;; 91.38 ;;
Fri Jan 28 19:13:54 2022 ; 675 ;; 91.26 ;;
Fri Jan 28 19:14:49 2022 ; 771 ;; 92.22 ;;
Fri Jan 28 19:15:38 2022 ; 857 ;; 92.88 ;;
Fri Jan 28 19:16:02 2022 ; 898 ;; 93.1 ;;
Fri Jan 28 19:16:36 2022 ; 958 ;; 93.42 ;;
Fri Jan 28 19:16:38 2022 ; 959 ;; 93.33 ;;
Fri Jan 28 19:17:01 2022 ; 1000 ;; 93.5 ;;
Fri Jan 28 19:18:02 2022 ; 1108 ;; 94.04 ;;
Fri Jan 28 19:18:03 2022 ; 1109 ;; 93.96 ;;
Fri Jan 28 19:18:19 2022 ; 1136 ;; 94.01 ;;
Fri Jan 28 19:19:06 2022 ; 1220 ;; 94.34 ;;
Fri Jan 28 19:19:32 2022 ; 1265 ;; 94.47 ;;
Fri Jan 28 19:19:42 2022 ; 1281 ;; 94.46 ;;
Fri Jan 28 19:19:43 2022 ; 1283 ;; 94.39 ;;
Fri Jan 28 19:19:56 2022 ; 1305 ;; 94.41 ;;
Fri Jan 28 19:20:06 2022 ; 1321 ;; 94.4 ;;
Fri Jan 28 19:20:08 2022 ; 1324 ;; 94.34 ;;
Fri Jan 28 19:20:09 2022 ; 1325 ;; 94.26 ;;
Fri Jan 28 19:20:10 2022 ; 1326 ;; 94.19 ;;
Fri Jan 28 19:20:12 2022 ; 1329 ;; 94.13 ;;
Fri Jan 28 19:20:13 2022 ; 1330 ;; 94.06 ;;
Fri Jan 28 19:20:26 2022 ; 1352 ;; 94.08 ;;
Fri Jan 28 19:20:36 2022 ; 1369 ;; 94.08 ;;
Fri Jan 28 19:23:07 2022 ; 1634 ;; 94.98 ;;
Fri Jan 28 19:23:21 2022 ; 1659 ;; 95.0 ;;
Fri Jan 28 19:23:31 2022 ; 1675 ;; 94.99 ;;
Fri Jan 28 19:23:44 2022 ; 1699 ;; 95.0 ;;
Fri Jan 28 19:23:46 2022 ; 1700 ;; 94.94 ;;
Fri Jan 28 19:23:47 2022 ; 1701 ;; 94.89 ;;
Fri Jan 28 19:24:00 2022 ; 1724 ;; 94.9 ;;
Fri Jan 28 19:24:13 2022 ; 1747 ;; 94.91 ;;
Fri Jan 28 19:24:24 2022 ; 1765 ;; 94.9 ;;
Fri Jan 28 19:24:43 2022 ; 1797 ;; 94.94 ;;
Fri Jan 28 19:25:17 2022 ; 1857 ;; 95.05 ;;
Fri Jan 28 19:25:30 2022 ; 1879 ;; 95.05 ;;
Fri Jan 28 19:25:34 2022 ; 1884 ;; 95.01 ;;
Fri Jan 28 19:25:35 2022 ; 1886 ;; 94.96 ;;
Fri Jan 28 19:25:55 2022 ; 1920 ;; 95.0 ;;
Fri Jan 28 19:26:31 2022 ; 1984 ;; 95.11 ;;
Fri Jan 28 19:27:06 2022 ; 2045 ;; 95.21 ;;
Fri Jan 28 19:27:17 2022 ; 2063 ;; 95.2 ;;
Fri Jan 28 19:27:31 2022 ; 2087 ;; 95.21 ;;
Fri Jan 28 19:28:20 2022 ; 2174 ;; 95.35 ;;
Fri Jan 28 19:28:32 2022 ; 2194 ;; 95.35 ;;
Fri Jan 28 19:29:42 2022 ; 2317 ;; 95.55 ;;
Fri Jan 28 19:29:58 2022 ; 2344 ;; 95.56 ;;
Fri Jan 28 19:30:10 2022 ; 2365 ;; 95.56 ;;
Fri Jan 28 19:30:55 2022 ; 2443 ;; 95.66 ;;
Fri Jan 28 19:32:03 2022 ; 2563 ;; 95.83 ;;
Fri Jan 28 19:32:12 2022 ; 2579 ;; 95.81 ;;
Fri Jan 28 19:33:44 2022 ; 2742 ;; 96.02 ;;
Fri Jan 28 19:34:22 2022 ; 2810 ;; 96.09 ;;
Fri Jan 28 19:34:28 2022 ; 2820 ;; 96.06 ;;
Fri Jan 28 19:35:07 2022 ; 2888 ;; 96.12 ;;
Fri Jan 28 19:35:38 2022 ; 2941 ;; 96.16 ;;
Fri Jan 28 19:36:07 2022 ; 2993 ;; 96.19 ;;
Fri Jan 28 19:36:13 2022 ; 3002 ;; 96.17 ;;
Fri Jan 28 19:36:34 2022 ; 3038 ;; 96.18 ;;
Fri Jan 28 19:36:36 2022 ; 3041 ;; 96.15 ;;
Fri Jan 28 19:36:59 2022 ; 3081 ;; 96.17 ;;
Fri Jan 28 19:37:02 2022 ; 3085 ;; 96.14 ;;
Fri Jan 28 19:37:29 2022 ; 3133 ;; 96.17 ;;
Fri Jan 28 19:37:33 2022 ; 3139 ;; 96.15 ;;
Fri Jan 28 19:37:45 2022 ; 3159 ;; 96.14 ;;
Fri Jan 28 19:37:46 2022 ; 3160 ;; 96.11 ;;
Fri Jan 28 19:37:49 2022 ; 3164 ;; 96.08 ;;
Fri Jan 28 19:40:24 2022 ; 3440 ;; 96.37 ;;
Fri Jan 28 19:40:35 2022 ; 3458 ;; 96.36 ;;
Fri Jan 28 19:40:39 2022 ; 3465 ;; 96.33 ;;
Fri Jan 28 19:41:18 2022 ; 3532 ;; 96.38 ;;
Fri Jan 28 19:41:39 2022 ; 3569 ;; 96.39 ;;
Fri Jan 28 19:41:53 2022 ; 3593 ;; 96.38 ;;
Fri Jan 28 19:42:45 2022 ; 3684 ;; 96.44 ;;
Fri Jan 28 19:43:00 2022 ; 3711 ;; 96.44 ;;
Fri Jan 28 19:43:03 2022 ; 3714 ;; 96.42 ;;
Fri Jan 28 19:43:29 2022 ; 3759 ;; 96.44 ;;
Fri Jan 28 19:43:40 2022 ; 3779 ;; 96.43 ;;
Fri Jan 28 19:43:42 2022 ; 3781 ;; 96.4 ;;
Fri Jan 28 19:43:55 2022 ; 3803 ;; 96.4 ;;
Fri Jan 28 19:43:58 2022 ; 3808 ;; 96.38 ;;
Fri Jan 28 19:43:59 2022 ; 3809 ;; 96.35 ;;
Fri Jan 28 19:44:00 2022 ; 3810 ;; 96.33 ;;
Fri Jan 28 19:44:23 2022 ; 3849 ;; 96.34 ;;
Fri Jan 28 19:44:34 2022 ; 3868 ;; 96.33 ;;
Fri Jan 28 19:44:36 2022 ; 3871 ;; 96.31 ;;
Fri Jan 28 19:45:39 2022 ; 3981 ;; 96.38 ;;
Fri Jan 28 19:45:53 2022 ; 4006 ;; 96.38 ;;
Fri Jan 28 19:46:09 2022 ; 4033 ;; 96.38 ;;
Fri Jan 28 19:46:10 2022 ; 4034 ;; 96.36 ;;
Fri Jan 28 19:46:37 2022 ; 4081 ;; 96.37 ;;
Fri Jan 28 19:46:51 2022 ; 4105 ;; 96.37 ;;
Fri Jan 28 19:47:14 2022 ; 4144 ;; 96.38 ;;
Fri Jan 28 19:47:43 2022 ; 4195 ;; 96.4 ;;
Fri Jan 28 19:48:06 2022 ; 4235 ;; 96.41 ;;
Fri Jan 28 19:48:20 2022 ; 4259 ;; 96.41 ;;
Fri Jan 28 19:48:42 2022 ; 4296 ;; 96.42 ;;
Fri Jan 28 19:48:43 2022 ; 4297 ;; 96.39 ;;
Fri Jan 28 19:49:13 2022 ; 4350 ;; 96.41 ;;
Fri Jan 28 19:49:40 2022 ; 4397 ;; 96.43 ;;
Fri Jan 28 19:49:42 2022 ; 4399 ;; 96.41 ;;
Fri Jan 28 19:50:21 2022 ; 4466 ;; 96.44 ;;
Fri Jan 28 19:50:30 2022 ; 4482 ;; 96.43 ;;
Fri Jan 28 19:50:48 2022 ; 4512 ;; 96.43 ;;
Fri Jan 28 19:50:49 2022 ; 4514 ;; 96.41 ;;
Fri Jan 28 19:51:44 2022 ; 4610 ;; 96.46 ;;
Fri Jan 28 19:51:57 2022 ; 4633 ;; 96.46 ;;
Fri Jan 28 19:51:59 2022 ; 4636 ;; 96.44 ;;
Fri Jan 28 19:52:12 2022 ; 4658 ;; 96.44 ;;
Fri Jan 28 19:52:14 2022 ; 4660 ;; 96.42 ;;
Fri Jan 28 19:52:46 2022 ; 4716 ;; 96.44 ;;
Fri Jan 28 19:52:48 2022 ; 4719 ;; 96.42 ;;
Fri Jan 28 19:53:23 2022 ; 4781 ;; 96.44 ;;
Fri Jan 28 19:53:27 2022 ; 4786 ;; 96.43 ;;
Fri Jan 28 19:54:07 2022 ; 4855 ;; 96.46 ;;
Fri Jan 28 19:54:22 2022 ; 4881 ;; 96.46 ;;
Fri Jan 28 19:54:24 2022 ; 4884 ;; 96.44 ;;
Fri Jan 28 19:54:25 2022 ; 4886 ;; 96.42 ;;
Fri Jan 28 19:54:26 2022 ; 4887 ;; 96.4 ;;
Fri Jan 28 19:54:28 2022 ; 4888 ;; 96.38 ;;
Fri Jan 28 19:54:29 2022 ; 4889 ;; 96.36 ;;
Fri Jan 28 19:54:30 2022 ; 4890 ;; 96.34 ;;
Fri Jan 28 19:54:31 2022 ; 4891 ;; 96.32 ;;
Fri Jan 28 19:54:32 2022 ; 4892 ;; 96.3 ;;
Fri Jan 28 19:54:33 2022 ; 4893 ;; 96.28 ;;
Fri Jan 28 19:54:34 2022 ; 4894 ;; 96.26 ;;
Fri Jan 28 19:54:35 2022 ; 4895 ;; 96.24 ;;
Fri Jan 28 19:54:36 2022 ; 4896 ;; 96.22 ;;
Fri Jan 28 19:54:37 2022 ; 4897 ;; 96.2 ;;
Fri Jan 28 19:54:41 2022 ; 4903 ;; 96.19 ;;
Fri Jan 28 19:54:42 2022 ; 4904 ;; 96.17 ;;
Fri Jan 28 19:54:43 2022 ; 4905 ;; 96.15 ;;
