Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Fri Jan 28 17:16:48 2022 ; 348 ;; 99.71 ;;
Fri Jan 28 17:16:49 2022 ; 349 ;; 99.43 ;;
Fri Jan 28 17:16:50 2022 ; 350 ;; 99.14 ;;
Fri Jan 28 17:16:51 2022 ; 351 ;; 98.86 ;;
Fri Jan 28 17:16:52 2022 ; 352 ;; 98.58 ;;
Fri Jan 28 17:16:53 2022 ; 353 ;; 98.3 ;;
Fri Jan 28 17:16:54 2022 ; 354 ;; 98.02 ;;
Fri Jan 28 17:16:55 2022 ; 355 ;; 97.75 ;;
Fri Jan 28 17:16:56 2022 ; 356 ;; 97.47 ;;
Fri Jan 28 17:16:57 2022 ; 357 ;; 97.2 ;;
Fri Jan 28 17:16:58 2022 ; 358 ;; 96.93 ;;
Fri Jan 28 17:16:59 2022 ; 359 ;; 96.66 ;;
Fri Jan 28 17:17:00 2022 ; 360 ;; 96.39 ;;
Fri Jan 28 17:17:01 2022 ; 361 ;; 96.12 ;;
Fri Jan 28 17:17:02 2022 ; 362 ;; 95.86 ;;
Fri Jan 28 17:17:03 2022 ; 363 ;; 95.59 ;;
Fri Jan 28 17:17:04 2022 ; 364 ;; 95.33 ;;
Fri Jan 28 17:17:05 2022 ; 365 ;; 95.07 ;;
Fri Jan 28 17:17:06 2022 ; 366 ;; 94.81 ;;
Fri Jan 28 17:17:07 2022 ; 367 ;; 94.55 ;;
Fri Jan 28 17:17:08 2022 ; 368 ;; 94.29 ;;
Fri Jan 28 17:17:09 2022 ; 369 ;; 94.04 ;;
Fri Jan 28 17:17:10 2022 ; 370 ;; 93.78 ;;
Fri Jan 28 17:17:14 2022 ; 375 ;; 93.6 ;;
Fri Jan 28 17:17:18 2022 ; 382 ;; 93.46 ;;
Fri Jan 28 17:17:27 2022 ; 397 ;; 93.45 ;;
Fri Jan 28 17:17:28 2022 ; 398 ;; 93.22 ;;
Fri Jan 28 17:17:29 2022 ; 399 ;; 92.98 ;;
Fri Jan 28 17:17:30 2022 ; 400 ;; 92.75 ;;
Fri Jan 28 17:17:31 2022 ; 401 ;; 92.52 ;;
Fri Jan 28 17:17:32 2022 ; 402 ;; 92.29 ;;
Fri Jan 28 17:17:33 2022 ; 403 ;; 92.06 ;;
Fri Jan 28 17:17:34 2022 ; 404 ;; 91.83 ;;
Fri Jan 28 17:17:35 2022 ; 405 ;; 91.6 ;;
Fri Jan 28 17:17:36 2022 ; 406 ;; 91.38 ;;
Fri Jan 28 17:17:37 2022 ; 407 ;; 91.15 ;;
Fri Jan 28 17:17:38 2022 ; 408 ;; 90.93 ;;
Fri Jan 28 17:17:39 2022 ; 409 ;; 90.71 ;;
Fri Jan 28 17:17:40 2022 ; 410 ;; 90.49 ;;
Fri Jan 28 17:21:10 2022 ; 785 ;; 94.9 ;;
Fri Jan 28 17:25:28 2022 ; 1248 ;; 96.71 ;;
Fri Jan 28 17:25:57 2022 ; 1299 ;; 96.77 ;;
Fri Jan 28 17:27:21 2022 ; 1450 ;; 97.03 ;;
Fri Jan 28 17:27:52 2022 ; 1504 ;; 97.07 ;;
Fri Jan 28 17:32:54 2022 ; 2051 ;; 97.81 ;;
Fri Jan 28 17:33:55 2022 ; 2159 ;; 97.87 ;;
Fri Jan 28 17:34:24 2022 ; 2212 ;; 97.88 ;;
Fri Jan 28 17:34:51 2022 ; 2260 ;; 97.88 ;;
Fri Jan 28 17:34:59 2022 ; 2272 ;; 97.84 ;;
Fri Jan 28 17:35:14 2022 ; 2299 ;; 97.83 ;;
Fri Jan 28 17:36:35 2022 ; 2444 ;; 97.91 ;;
Fri Jan 28 17:36:42 2022 ; 2455 ;; 97.88 ;;
Fri Jan 28 17:37:12 2022 ; 2508 ;; 97.89 ;;
Fri Jan 28 17:37:52 2022 ; 2580 ;; 97.91 ;;
Fri Jan 28 17:39:29 2022 ; 2754 ;; 98.0 ;;
Fri Jan 28 17:40:42 2022 ; 2884 ;; 98.06 ;;
Fri Jan 28 17:40:57 2022 ; 2910 ;; 98.04 ;;
Fri Jan 28 17:41:12 2022 ; 2938 ;; 98.03 ;;
Fri Jan 28 17:43:19 2022 ; 3167 ;; 98.14 ;;
Fri Jan 28 17:44:34 2022 ; 3301 ;; 98.18 ;;
Fri Jan 28 17:48:36 2022 ; 3739 ;; 98.37 ;;
Fri Jan 28 17:49:28 2022 ; 3832 ;; 98.38 ;;
Fri Jan 28 17:49:34 2022 ; 3841 ;; 98.36 ;;
Fri Jan 28 17:50:13 2022 ; 3912 ;; 98.36 ;;
Fri Jan 28 17:50:28 2022 ; 3938 ;; 98.35 ;;
Fri Jan 28 17:53:21 2022 ; 4251 ;; 98.45 ;;
Fri Jan 28 18:02:12 2022 ; 5206 ;; 98.71 ;;
Fri Jan 28 18:06:05 2022 ; 5637 ;; 98.79 ;;
Fri Jan 28 18:10:13 2022 ; 6100 ;; 98.87 ;;
Fri Jan 28 18:12:19 2022 ; 6332 ;; 98.89 ;;
Fri Jan 28 18:15:37 2022 ; 6685 ;; 98.94 ;;
Fri Jan 28 18:26:37 2022 ; 7867 ;; 99.08 ;;
Fri Jan 28 18:29:00 2022 ; 8122 ;; 99.1 ;;
Fri Jan 28 18:31:09 2022 ; 8352 ;; 99.11 ;;
