Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Dec  1 10:21:49 2022 ; 1640 ;; 94.63 ;;
Thu Dec  1 10:21:50 2022 ; 1641 ;; 94.58 ;;
Thu Dec  1 10:21:51 2022 ; 1642 ;; 94.52 ;;
Thu Dec  1 10:21:52 2022 ; 1643 ;; 94.46 ;;
Thu Dec  1 10:21:53 2022 ; 1644 ;; 94.4 ;;
Thu Dec  1 10:21:55 2022 ; 1645 ;; 94.35 ;;
Thu Dec  1 10:21:56 2022 ; 1646 ;; 94.29 ;;
Thu Dec  1 10:21:57 2022 ; 1647 ;; 94.23 ;;
Thu Dec  1 10:21:58 2022 ; 1648 ;; 94.17 ;;
Thu Dec  1 10:21:59 2022 ; 1649 ;; 94.12 ;;
Thu Dec  1 10:22:00 2022 ; 1650 ;; 94.06 ;;
Thu Dec  1 10:22:01 2022 ; 1651 ;; 94.0 ;;
Thu Dec  1 10:22:02 2022 ; 1652 ;; 93.95 ;;
Thu Dec  1 10:22:03 2022 ; 1653 ;; 93.89 ;;
Thu Dec  1 10:22:04 2022 ; 1654 ;; 93.83 ;;
Thu Dec  1 10:22:05 2022 ; 1655 ;; 93.78 ;;
Thu Dec  1 10:22:06 2022 ; 1656 ;; 93.72 ;;
Thu Dec  1 10:22:07 2022 ; 1657 ;; 93.66 ;;
Thu Dec  1 10:22:08 2022 ; 1658 ;; 93.61 ;;
Thu Dec  1 10:22:09 2022 ; 1659 ;; 93.55 ;;
Thu Dec  1 10:22:10 2022 ; 1660 ;; 93.49 ;;
Thu Dec  1 10:22:12 2022 ; 1661 ;; 93.44 ;;
Thu Dec  1 10:22:13 2022 ; 1662 ;; 93.38 ;;
Thu Dec  1 10:22:14 2022 ; 1663 ;; 93.33 ;;
Thu Dec  1 10:22:15 2022 ; 1664 ;; 93.27 ;;
Thu Dec  1 10:22:16 2022 ; 1665 ;; 93.21 ;;
Thu Dec  1 10:22:17 2022 ; 1666 ;; 93.16 ;;
Thu Dec  1 10:22:18 2022 ; 1667 ;; 93.1 ;;
Thu Dec  1 10:22:19 2022 ; 1668 ;; 93.05 ;;
Thu Dec  1 10:22:20 2022 ; 1669 ;; 92.99 ;;
Thu Dec  1 10:22:21 2022 ; 1670 ;; 92.93 ;;
Thu Dec  1 10:22:22 2022 ; 1671 ;; 92.88 ;;
Thu Dec  1 10:22:23 2022 ; 1672 ;; 92.82 ;;
Thu Dec  1 10:22:24 2022 ; 1673 ;; 92.77 ;;
Thu Dec  1 10:22:26 2022 ; 1674 ;; 92.71 ;;
Thu Dec  1 10:22:27 2022 ; 1675 ;; 92.66 ;;
Thu Dec  1 10:22:28 2022 ; 1676 ;; 92.6 ;;
Thu Dec  1 10:22:29 2022 ; 1677 ;; 92.55 ;;
Thu Dec  1 10:22:30 2022 ; 1678 ;; 92.49 ;;
Thu Dec  1 10:22:31 2022 ; 1679 ;; 92.44 ;;
Thu Dec  1 10:22:32 2022 ; 1680 ;; 92.38 ;;
Thu Dec  1 10:22:33 2022 ; 1681 ;; 92.33 ;;
Thu Dec  1 10:22:34 2022 ; 1682 ;; 92.27 ;;
Thu Dec  1 10:22:35 2022 ; 1683 ;; 92.22 ;;
Thu Dec  1 10:22:36 2022 ; 1684 ;; 92.16 ;;
Thu Dec  1 10:22:37 2022 ; 1685 ;; 92.11 ;;
Thu Dec  1 10:22:38 2022 ; 1686 ;; 92.05 ;;
Thu Dec  1 10:22:39 2022 ; 1687 ;; 92.0 ;;
Thu Dec  1 10:22:40 2022 ; 1688 ;; 91.94 ;;
Thu Dec  1 10:22:42 2022 ; 1689 ;; 91.89 ;;
Thu Dec  1 10:22:43 2022 ; 1690 ;; 91.83 ;;
Thu Dec  1 10:22:44 2022 ; 1691 ;; 91.78 ;;
