Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Wed Nov 30 20:04:01 2022 ; 1 ;; 0.0 ;;
Wed Nov 30 20:04:02 2022 ; 2 ;; 0.0 ;;
Wed Nov 30 20:04:10 2022 ; 14 ;; 78.57 ;;
Wed Nov 30 20:04:11 2022 ; 16 ;; 75.0 ;;
Wed Nov 30 20:04:13 2022 ; 18 ;; 72.22 ;;
Wed Nov 30 20:04:34 2022 ; 50 ;; 88.0 ;;
Wed Nov 30 20:04:36 2022 ; 51 ;; 86.27 ;;
Wed Nov 30 20:04:37 2022 ; 53 ;; 84.91 ;;
Wed Nov 30 20:04:38 2022 ; 54 ;; 83.33 ;;
Wed Nov 30 20:04:39 2022 ; 55 ;; 81.82 ;;
Wed Nov 30 20:04:41 2022 ; 58 ;; 81.03 ;;
Wed Nov 30 20:04:45 2022 ; 63 ;; 80.95 ;;
Wed Nov 30 20:04:47 2022 ; 66 ;; 80.3 ;;
Wed Nov 30 20:04:50 2022 ; 69 ;; 79.71 ;;
Wed Nov 30 20:04:51 2022 ; 70 ;; 78.57 ;;
Wed Nov 30 20:04:52 2022 ; 71 ;; 77.46 ;;
Wed Nov 30 20:04:55 2022 ; 75 ;; 77.33 ;;
Wed Nov 30 20:04:56 2022 ; 76 ;; 76.32 ;;
Wed Nov 30 20:04:57 2022 ; 77 ;; 75.32 ;;
Wed Nov 30 20:04:58 2022 ; 78 ;; 74.36 ;;
Wed Nov 30 20:05:00 2022 ; 81 ;; 74.07 ;;
Wed Nov 30 20:05:02 2022 ; 83 ;; 73.49 ;;
Wed Nov 30 20:05:03 2022 ; 84 ;; 72.62 ;;
Wed Nov 30 20:05:05 2022 ; 86 ;; 72.09 ;;
Wed Nov 30 20:05:06 2022 ; 87 ;; 71.26 ;;
Wed Nov 30 20:05:07 2022 ; 88 ;; 70.45 ;;
Wed Nov 30 20:05:08 2022 ; 89 ;; 69.66 ;;
Wed Nov 30 20:05:10 2022 ; 91 ;; 69.23 ;;
Wed Nov 30 20:05:15 2022 ; 99 ;; 70.71 ;;
Wed Nov 30 20:05:16 2022 ; 100 ;; 70.0 ;;
