Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Wed Jan 26 19:45:48 2022 ; 244 ;; 99.59 ;;
Wed Jan 26 19:45:49 2022 ; 245 ;; 99.18 ;;
Wed Jan 26 19:45:50 2022 ; 246 ;; 98.78 ;;
Wed Jan 26 19:45:51 2022 ; 247 ;; 98.38 ;;
Wed Jan 26 19:45:52 2022 ; 248 ;; 97.98 ;;
Wed Jan 26 19:45:53 2022 ; 249 ;; 97.59 ;;
Wed Jan 26 19:45:54 2022 ; 250 ;; 97.2 ;;
Wed Jan 26 19:45:55 2022 ; 251 ;; 96.81 ;;
Wed Jan 26 19:45:56 2022 ; 252 ;; 96.43 ;;
Wed Jan 26 19:45:57 2022 ; 253 ;; 96.05 ;;
Wed Jan 26 19:45:58 2022 ; 254 ;; 95.67 ;;
Wed Jan 26 19:46:00 2022 ; 255 ;; 95.29 ;;
Wed Jan 26 19:46:01 2022 ; 256 ;; 94.92 ;;
Wed Jan 26 19:46:02 2022 ; 257 ;; 94.55 ;;
Wed Jan 26 19:46:03 2022 ; 258 ;; 94.19 ;;
Wed Jan 26 19:46:04 2022 ; 259 ;; 93.82 ;;
Wed Jan 26 19:46:05 2022 ; 260 ;; 93.46 ;;
Wed Jan 26 19:46:06 2022 ; 261 ;; 93.1 ;;
Wed Jan 26 19:46:07 2022 ; 262 ;; 92.75 ;;
